restaurant,cuisine,stars,long,lat,lower_price,higher_price
Caracol,Modern Cuisine,1,14.0869382,40.7942992,115.5,136.5
Gagini Restaurant,Creative,1,13.3107090155917,38.13724645,57.75,115.5
Indaco,Creative,1,13.88464163393207,40.7539568,94.5,152.25
Costes,Modern Cuisine,1,19.0622918,47.488785,75.4,75.4
Salt,Hungarian,1,19.0591496,47.4903957,68.9,68.9
Babel,Modern Cuisine,1,19.0521085,47.4928557,77.74,77.74
Stand,Modern Cuisine,1,19.05960834948544,47.5000411,42.9,42.9
Borkonyha Winekitchen,Modern Cuisine,1,19.0524846,47.4996245,22.49,22.49
essência,Hungarian,1,19.0403594,47.4979937,14.3,14.3
Costes Downtown,Modern Cuisine,1,19.04845859476465,47.50097045,20.54,20.54
Il Bavaglino,Creative,1,13.08249,38.1544014,63.0,99.75
Villa Maiella,Cuisine from Abruzzo,1,14.1943804,42.1871422,63.0,99.75
La Bandiera,Cuisine from Abruzzo,1,13.9059958,42.3637782,36.75,91.35
D.One Restaurant,Modern Cuisine,1,13.9887744,42.6776944,67.2,126.0
Essenza,Italian Contemporary,1,13.2552406,41.2877019,57.75,126.0
Noel,Modern Cuisine,1,15.9882764,45.8109911,19.23,135.32
Acqua Pazza,Seafood,1,12.9630622,40.8932368,72.45,115.5
Boškinac,Creative,1,14.90021559283909,44.5724539,84.04,126.77
Mater1apr1ma,Italian Contemporary,1,13.0430879,41.4101812,47.25,84.0
Colline Ciociare,Creative,1,13.1623003,41.7935096,84.0,126.0
L'Arcade,Contemporary,1,13.7991215,43.1799942,36.75,89.25
Retroscena,Creative,1,13.7927689,43.1799989,56.7,94.5
Aminta Resort,Creative,1,12.9670242,41.8103073,73.5,136.5
Alfred Keller,Modern Cuisine,1,14.4694205,44.531663,45.58,111.1
Antonello Colonna Labico,Modern Cuisine,1,12.8696485,41.7847253,105.0,126.0
Andreina,Regional Cuisine,1,13.6207685,43.4403344,63.0,120.75
Vespasia,Modern Cuisine,1,13.0922164,42.7926341,78.75,157.5
Aroma,Creative,1,12.4944218,41.8904192,105.0,178.5
Marco Martini Restaurant,Creative,1,12.4864184,41.8824227,53.55,157.5
Moma,Creative,1,12.4829321,41.8933203,65.1,110.25
La Terrazza,Modern Cuisine,1,12.4863085,41.9065412,136.5,210.0
Imàgo,Modern Cuisine,1,12.4837775,41.9058072,136.5,168.0
Idylio by Apreda,Italian Contemporary,1,12.4759394,41.8980083,105.0,147.0
Zia,Modern Cuisine,1,12.59134167223423,41.7797942,63.0,94.5
Glass Hostaria,Creative,1,12.4691856,41.8905107,78.75,110.25
Il Convivio Troiani,Modern Cuisine,1,12.4725158,41.9015324,84.0,147.0
Acquolina,Seafood,1,12.4755908,41.9086556,94.5,157.5
Pipero Roma,Creative,1,12.8044651,42.0239185,126.0,168.0
Per Me Giulio Terrinoni,Creative,1,12.4675414,41.8973155,34.65,147.0
All'Oro,Creative,1,12.4730528,41.9140823,87.15,157.5
Enoteca La Torre,Modern Cuisine,1,12.4695005,41.9158053,89.25,147.0
Hiša Denk,Creative,1,15.61467513526535,46.638278,47.25,89.25
Nebo,Modern Cuisine,1,14.35005704236216,45.34695015,126.77,126.77
Il Tino,Creative,1,12.2339473,41.7675656,94.5,136.5
Draga di Lovrana,Modern Cuisine,1,14.243195,45.2781192,51.28,84.04
Pascucci al Porticciolo,Seafood,1,12.2339473,41.7675656,63.0,126.0
Bottiglieria 1881,Creative,1,19.98150177211731,50.03784755,50.0,90.0
Restavracija Atelje,Creative,1,14.505765,46.052464,25.2,126.0
Nostrano,Creative,1,12.9180491,43.9144747,73.5,105.0
Casa Iozzìa,Modern Cuisine,1,12.172462,42.465427,78.75,115.5
Casa Vissani,Creative,1,12.2161353,42.6702835,105.0,262.5
Danilo Ciavattini,Creative,1,12.1072895,42.4145479,52.5,79.8
Agli Amici Rovinj,Italian Contemporary,1,13.6379707,45.0772264,118.23,118.23
Monte,Creative,1,13.6311019,45.082622,113.1,113.1
L'Acciuga,Modern Cuisine,1,12.3731335,43.0990754,47.25,65.1
Gostišče Grič,Market Cuisine,1,14.2988997,46.0223241,63.0,115.5
Gostilna Pri Lojzetu,Modern Cuisine,1,13.9491652,45.85554225,57.75,99.75
APRON,Creative,1,16.3773488,48.1996448,103.95,141.75
Guido,Seafood,1,12.6215761,44.0325961,82.95,105.0
TIAN,Vegetarian,1,16.3745292,48.2052633,126.0,147.0
SHIKI,Japanese,1,16.371088,48.2041137,120.75,152.25
Walter Bauer,Classic Cuisine,1,16.3769784,48.2092086,54.6,82.95
[aend],Modern Cuisine,1,16.3408531,48.1896457,51.45,156.45
Edvard,Modern Cuisine,1,16.3684353,48.2163449,91.35,144.9
Pramerl & the Wolf,Creative,1,16.3648534,48.2220715,115.5,136.5
Abocar Due Cucine,Modern Cuisine,1,12.5684371,44.0593886,51.45,94.5
Ristorante Castello di Fighine,Contemporary,1,11.8749526,42.871756,94.5,126.0
Vila Podvin,Modern Cuisine,1,14.2093746,46.3394523,25.2,99.75
Righi,Creative,1,12.4468499821,43.9365754653626,44.1,105.0
La Parolina,Country cooking,1,11.8709531,42.8221916,63.0,115.5
I Salotti,Creative,1,13.6372975,37.2716612,115.5,157.5
Osteria del Povero Diavolo,Modern Cuisine,1,12.385382,43.9858,44.1,71.4
Il Piastrino,Modern Cuisine,1,12.2664331,43.8201762,57.75,99.75
